country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",12-04-2025 09:00,21.613267,73.010555,CO,6,72,31
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2025 09:00,23.163798,72.677768,PM10,49,103,72
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2025 09:00,23.163798,72.677768,NH3,5,10,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2025 09:00,23.163798,72.677768,CO,6,46,29
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",12-04-2025 09:00,23.243639,72.68994,CO,17,54,26
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",12-04-2025 09:00,23.221714,72.654328,PM2.5,18,40,28
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",12-04-2025 09:00,28.611281,77.237738,NO2,15,98,40
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",12-04-2025 09:00,28.611281,77.237738,NH3,18,22,20
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",12-04-2025 09:00,28.636429,77.201067,PM2.5,13,143,50
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",12-04-2025 09:00,28.636429,77.201067,NH3,9,15,11
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",12-04-2025 09:00,28.636429,77.201067,CO,8,22,18
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",12-04-2025 09:00,28.636429,77.201067,OZONE,7,16,9
India,Delhi,Delhi,"Mundka, Delhi - DPCC",12-04-2025 09:00,28.684678,77.076574,PM2.5,NA,NA,NA
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",12-04-2025 09:00,28.60909,77.0325413,CO,2,130,14
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",12-04-2025 09:00,28.60909,77.0325413,OZONE,9,119,11
India,Delhi,Delhi,"ITO, Delhi - CPCB",12-04-2025 09:00,28.628624,77.24106,NO2,7,49,29
India,Delhi,Delhi,"ITO, Delhi - CPCB",12-04-2025 09:00,28.628624,77.24106,OZONE,5,23,6
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-04-2025 09:00,28.73282,77.170633,NH3,11,13,12
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",12-04-2025 09:00,28.58028,77.233829,NO2,7,87,53
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",12-04-2025 09:00,28.58028,77.233829,OZONE,3,66,29
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",12-04-2025 09:00,28.588333,77.221667,SO2,10,61,32
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",12-04-2025 09:00,28.5918245,77.2273074,CO,23,34,30
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-04-2025 09:00,28.672342,77.31526,NO2,17,59,30
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-04-2025 09:00,28.672342,77.31526,NH3,1,2,1
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-04-2025 09:00,28.672342,77.31526,OZONE,7,171,29
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2025 09:00,23.107969,72.574648,PM10,37,190,91
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2025 09:00,23.107969,72.574648,NO2,43,106,68
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2025 09:00,23.107969,72.574648,NH3,2,5,3
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2025 09:00,23.107969,72.574648,SO2,1,18,6
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",12-04-2025 09:00,22.977134,72.553024,SO2,22,45,30
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",12-04-2025 09:00,28.570173,76.933762,OZONE,7,281,27
India,Delhi,Delhi,"Narela, Delhi - DPCC",12-04-2025 09:00,28.822836,77.101981,SO2,7,17,12
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",12-04-2025 09:00,28.6573814,77.1585447,OZONE,12,151,19
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",12-04-2025 09:00,28.530785,77.271255,NO2,26,88,44
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",12-04-2025 09:00,28.530785,77.271255,NH3,9,16,11
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",12-04-2025 09:00,28.623763,77.287209,PM2.5,22,103,66
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",12-04-2025 09:00,23.002657,72.591912,CO,16,31,24
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",12-04-2025 09:00,23.002657,72.591912,OZONE,4,71,11
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",12-04-2025 09:00,23.020509,72.579261,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",12-04-2025 09:00,23.020509,72.579261,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",12-04-2025 09:00,23.020509,72.579261,CO,13,20,18
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",12-04-2025 09:00,23.016834,72.625775,OZONE,2,65,10
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",12-04-2025 09:00,23.041137,72.456691,NH3,3,25,6
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",12-04-2025 09:00,28.498571,77.26484,SO2,17,28,22
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",12-04-2025 09:00,28.5710274,77.0719006,OZONE,4,69,10
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",12-04-2025 09:00,28.5627763,77.1180053,PM10,42,482,132
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",12-04-2025 09:00,28.5627763,77.1180053,NO2,45,100,64
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",12-04-2025 09:00,28.6811736,77.3025234,NH3,10,11,10
India,Delhi,Delhi,"Rohini, Delhi - DPCC",12-04-2025 09:00,28.732528,77.11992,OZONE,11,118,20
